Steps,Policy/Entropy,RT,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
4020000,0.9682788,4.046692607003891,1050.7241379310344,0.6643778,3.467527381305037,3.467527381305037,0.012237217,0.035080843,0.00024030003,0.18010002,0.00080299005,1.0
4080000,0.96264046,4.03921568627451,1050.7241379310344,0.66633135,3.4072912826872708,3.4072912826872708,0.012572179,0.037034117,0.00023940002,0.17980002,0.00080002006,1.0
4140000,0.957132,4.092307692307692,999.0,0.67484266,3.23725584046594,3.23725584046594,0.012255716,0.033566542,0.00023850003,0.17949998,0.0007970501,1.0
4200000,0.9515386,3.9763779527559056,1050.7241379310344,0.6713324,3.5192305918397575,3.5192305918397575,0.01206591,0.037108157,0.00023760002,0.17919996,0.0007940801,1.0
4260000,0.94662637,4.016,1050.7241379310344,0.67421794,3.38758568517093,3.38758568517093,0.012474438,0.034920797,0.0002367,0.1789,0.0007911101,1.0
4320000,0.94469327,3.9641434262948207,1050.7241379310344,0.6750843,3.4043302619666385,3.4043302619666385,0.011703936,0.0357705,0.0002358001,0.17860004,0.0007881401,1.0
4380000,0.93994266,4.007905138339921,999.0,0.6717123,3.3035009647237845,3.3035009647237845,0.011949185,0.035551056,0.00023490004,0.17830001,0.0007851701,1.0
4440000,0.9331658,4.031372549019608,1050.7241379310344,0.67833936,3.4373248363363333,3.4373248363363333,0.012719955,0.036460135,0.00023399999,0.17799999,0.0007822,1.0
4500000,0.9307053,3.9615384615384617,1050.7241379310344,0.6742229,3.4626977361481766,3.4626977361481766,0.011906258,0.03577114,0.00023310009,0.17769998,0.00077923015,1.0
4560000,0.9255048,4.287356321839081,1050.7241379310344,0.675638,3.446329455626638,3.446329455626638,0.0124147395,0.03484911,0.00023220007,0.17740002,0.00077626004,1.0
4620000,0.9189164,4.081081081081081,999.0,0.6786808,3.2318172125980773,3.2318172125980773,0.01175981,0.03426645,0.00023130006,0.1771,0.00077329006,1.0
4680000,0.9139435,4.089147286821706,1050.7241379310344,0.6818711,3.453236464796395,3.453236464796395,0.011929728,0.03335684,0.00023040007,0.1768,0.0007703201,1.0
4740000,0.9080365,4.185483870967742,1050.7241379310344,0.6745989,3.4277294298698164,3.4277294298698164,0.011838431,0.034462836,0.00022950009,0.1765,0.00076735014,1.0
4800000,0.90178955,4.015325670498084,1050.7241379310344,0.6720656,3.4487562388704536,3.4487562388704536,0.012555212,0.033803158,0.00022860007,0.1762,0.00076438015,1.0
4860000,0.89659923,3.8503937007874014,999.0,0.67878044,3.3472901911571107,3.3472901911571107,0.011948861,0.033350386,0.00022770007,0.17590001,0.00076141016,1.0
4920000,0.8919653,4.070588235294117,1050.7241379310344,0.6716637,3.419987107145375,3.419987107145375,0.012280197,0.032665007,0.00022680007,0.17560002,0.0007584402,1.0
4980000,0.88780516,3.914396887159533,1050.7241379310344,0.6567,3.5730106090677194,3.5730106090677194,0.0125512015,0.03599733,0.00022590008,0.1753,0.00075547013,1.0
5040000,0.8846377,3.984,1050.7241379310344,0.6632567,3.385634464130067,3.385634464130067,0.012483069,0.03681751,0.00022500007,0.17499998,0.00075250026,1.0
5100000,0.879567,3.922178988326848,999.0,0.65607524,3.259752499646154,3.259752499646154,0.011951807,0.034874417,0.00022410005,0.17470002,0.00074953015,1.0
5160000,0.8763578,3.9038461538461537,1050.7241379310344,0.6583771,3.521943581515345,3.521943581515345,0.011491496,0.03556476,0.00022320007,0.1744,0.00074656017,1.0
5220000,0.8734737,3.861111111111111,1050.7241379310344,0.65815806,3.4557456970214844,3.4557456970214844,0.011666438,0.03382094,0.00022230003,0.17410001,0.0007435902,1.0
5280000,0.86929727,3.9610894941634243,1050.7241379310344,0.6619965,3.478554968248334,3.478554968248334,0.011416107,0.035833515,0.00022140006,0.1738,0.0007406202,1.0
5340000,0.8627073,4.238866396761134,999.0,0.6746934,3.2353289867269583,3.2353289867269583,0.011582973,0.034449145,0.00022050005,0.17349999,0.00073765015,1.0
5400000,0.8564536,4.0234375,1050.7241379310344,0.6768774,3.4444854876090742,3.4444854876090742,0.011234109,0.033223473,0.00021950254,0.17316748,0.0007343583,1.0
5460000,0.85397243,3.932806324110672,1050.7241379310344,0.6768608,3.4418583204006326,3.4418583204006326,0.01064377,0.034848165,0.0002187001,0.17289998,0.00073171005,1.0
